name,neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date
"Nyman, Friendly Rentals",La roqueta,"39,46816","-0,38149",Entire home/apt,"1,0","1,0","60,0",2018-04-23,"100,0",España,Valencia,2020-02-29
La Casa de la Dehesa de la Villa número 8 6b,Valdezarza,"40,46402","-3,71659",Private room,"2,0","1,0","25,0",2020-03-05,"96,0",España,Madrid,2020-10-17
Happy house in Seville! Viriato 12 Room 1B,"Encarnación, regina","37,39539","-5,99205",Private room,"2,0","1,0","20,0",2019-01-31,"90,0",España,Sevilla,2020-04-30
"Unique House in Poble Nou, Near The Beach!",El poblenou,"41,40098","2,19798",Entire home/apt,"1,0","1,0","81,0",2020-03-08,"90,0",España,Barcelona,2020-11-06
Habitación en paseo maragall,Horta,"41,42819","2,16366",Private room,"1,0","1,0","40,0",2018-09-07,"95,0",España,Barcelona,2021-02-09
Suite en acogedora casa con magníficas vistas,Begur,"41,95328","3,20273",Private room,"2,0","1,0","115,0",2017-08-15,"100,0",España,Girona,2020-05-28
"Sunny Suite El Born, trendy area","Sant pere, santa caterina i la ribera","41,38405467612366","2,182334404731816",Private room,"2,0","1,0","70,0",2017-09-06,"96,0",España,Barcelona,2017-10-07
"Centrico, Olavide, Habitación Privada. 312",Alfalfa,"37,39143","-5,99561",Private room,"1,0","1,0","500,0",2019-12-12,"88,0",España,Sevilla,2019-12-31
"Pleno centro, 6 huespedes",Alfalfa,"37,39","-5,99387",Entire home/apt,"1,0","2,0","150,0",2020-02-23,"99,0",España,Sevilla,2020-04-30
INMálaga Constitución 3,Centro,"36,7203450673896","-4,421086528955804",Entire home/apt,"1,0","1,0","68,0",2018-07-06,"88,0",España,Malaga,2018-11-27
AMPLIA HABITACION CON BALCON,"Sant pere, santa caterina i la ribera","41,3872204723649","2,176151383436533",Private room,"2,0","1,0","29,0",2017-12-09,"95,0",España,Barcelona,2017-12-09
Charming country house with pool – Villa Es Molí de’n Palmer,Palma de mallorca,"39,61259","2,64642",Entire home/apt,"4,0","7,0","307,0",2019-08-17,"90,0",España,Mallorca,2020-05-28
Luxury apartment by Las Ramblas,El raval,"41,38400296304655","2,169990163956029",Entire home/apt,"3,0","3,0","80,0",2017-02-20,"86,0",España,Barcelona,2017-03-06
"BCN, Double Room close to Beach  with Breakfast",Provençals del poblenou,"41,41327034660744","2,200252837261988",Private room,"1,0","1,0","45,0",2018-01-01,"100,0",España,Barcelona,2018-01-17
70 m from the beach of Almadrava in Roses -,Roses,"42,23925","3,20965",Entire home/apt,"2,0","4,0","110,0",2019-07-20,"98,0",España,Girona,2019-07-29
Modern Apartment - 1 bedroom,Berruguete,"40,45885","-3,70799",Entire home/apt,"1,0","1,0","80,0",2019-06-01,"80,0",España,Madrid,2020-02-18
Luxury spacious apartment next to Universitat,L'antiga esquerra de l'eixample,"41,38825614313083","2,159727268575971",Entire home/apt,"2,0","3,0","145,0",2018-01-02,"94,0",España,Barcelona,2018-06-09
CENTER TOWN,"Sant pere, santa caterina i la ribera","41,38598","2,18074",Private room,"2,0","1,0","15,0",2020-02-27,"95,0",España,Barcelona,2020-03-16
ESTUDIO CENTRO PISCINA JINETES,Centro,"36,72529","-4,42025",Entire home/apt,"1,0",nan,"38,0",2020-09-25,"91,0",España,Malaga,2020-11-30
Lovely apartment San Basilio next to Alameda,Feria,"37,39897","-5,99031",Entire home/apt,"1,0","1,0","100,0",2020-01-31,"91,0",España,Sevilla,2020-03-23
Private Room Low cost El Arenal,Arenal,"37,38391","-5,99775",Private room,"1,0","1,0","45,0",2019-10-06,"95,0",España,Sevilla,2019-10-30
Great Location ROYAL PALACE,Palacio,"40,4191","-3,71098",Entire home/apt,"1,0","2,0","77,0",2019-05-05,"99,0",España,Madrid,2019-05-14
Double-room in a peaceful area,El congrés i els indians,"41,42653","2,18026",Private room,nan,"1,0","39,0",2016-06-27,"80,0",España,Barcelona,2020-07-17
COSY Studio+Netflix+SilentAirConditioning+24hEntry,Centro,"36,73376","-4,42238",Entire home/apt,"1,0",nan,"33,0",2020-10-13,"96,0",España,Malaga,2021-02-27
"Buhardilla  muy  luminosa, tranquila y centrica",Embajadores,"40,41039","-3,69695",Entire home/apt,"2,0","1,0","36,0",2019-05-09,"94,0",España,Madrid,2019-05-14
"Habitacion individual,bien comunicada trasporte p",Valverde,"40,48464110885941","-3,689573603312865",Private room,"1,0","1,0","25,0",2016-07-03,"100,0",España,Madrid,2017-04-08
"Doble Room in Gran Via, Fuencarral,Malasaña,Chueca",Justicia,"40,42329513783778","-3,699612245274776",Private room,"1,0","1,0","40,0",2017-11-26,"88,0",España,Madrid,2018-01-17
Tranquilo duplex en casco histórico con parking,San gil,"37,40144","-5,99083",Entire home/apt,"1,0","2,0","351,0",2019-05-12,"96,0",España,Sevilla,2019-05-29
PERFECT FOR TRAVELERS!,Cortes,"40,41041872331963","-3,694187053775966",Private room,"1,0","1,0","30,0",2018-11-25,"95,0",España,Madrid,2018-12-10
